ref,Partname,X,Y,R,size_x,size_y,top,bot,left,right
C3341,2203-010574,30.0057,7.135,180,0.6,0.3,1,0,1,0
C3350,AT07-101755,7.421,7.921,90,0.6,0.3,1,0,1,0
C3351,AT05-100451,23.8725,7.135,180,0.6,0.3,1,0,1,0
C3352,2203-010574,23.8725,6.68,180,0.6,0.3,1,0,1,0
C3353,2203-010551,23.8725,6.225,180,0.6,0.3,1,0,1,0
C3354,2203-010555,6.8766,6.63,90,0.6,0.3,1,0,1,0
C3355,2203-010555,20.5875,8.295,180,0.6,0.3,1,0,1,0
C3356,AT07-102171,24.3925,8.08,90,0.6,0.3,1,0,1,0
C3360,AT07-101982,31.5975,8.055,90,0.6,0.3,1,0,1,0
C3361,AT05-100451,30.9355,6.225,180,0.6,0.3,1,0,1,0
C3362,2203-010574,30.9355,6.68,180,0.6,0.3,1,0,1,0
C3363,2203-010551,30.9355,7.135,180,0.6,0.3,1,0,1,0
C3364,2203-010555,33.0475,8.04,90,0.6,0.3,1,0,1,0
C3369,AT07-101755,3.775,7.556,180,0.6,0.3,1,0,1,0
C3370,AT07-101755,3.874,8.272,90,0.6,0.3,1,0,1,0
C3371,AT07-101755,8.786,7.921,90,0.6,0.3,1,0,1,0
C3372,AT07-101755,7.876,7.921,90,0.6,0.3,1,0,1,0
C3373,AT07-101755,8.331,7.921,90,0.6,0.3,1,0,1,0
C3374,AT07-101755,3.201,6.523,90,0.6,0.3,1,0,1,0
C3375,AT07-101755,9.796,6.561,90,0.6,0.3,1,0,1,0
C3500,AT07-101982,66.014,8.114,180,0.6,0.3,1,0,1,0
C3501,AT05-100451,66.934,8.236,90,0.6,0.3,1,0,1,0
C3502,2203-010574,67.389,8.236,90,0.6,0.3,1,0,1,0
C3503,AT07-101982,62.98,6.663,90,0.6,0.3,1,0,1,0
C3504,AT05-100451,63.57,6.78,90,0.6,0.3,1,0,1,0
C3505,2203-010574,62.39,6.78,90,0.6,0.3,1,0,1,0
C3506,AT07-102171,48.94,6.605,90,0.6,0.3,1,0,1,0
C3507,AT07-102171,72.169,8.076,270,0.6,0.3,1,0,1,0
C3508,AT07-102171,70.819,8.076,270,0.6,0.3,1,0,1,0
C3509,AT07-102171,50.29,6.605,90,0.6,0.3,1,0,1,0
C3510,AT07-101982,50.99,6.605,90,0.6,0.3,1,0,1,0
C3511,AT07-101982,73.744,6.691,270,0.6,0.3,1,0,1,0
C3512,AT07-102171,49.615,6.605,90,0.6,0.3,1,0,1,0
C3513,AT07-102171,71.494,8.076,270,0.6,0.3,1,0,1,0
C3514,2203-010555,61.495,8.055,90,0.6,0.3,1,0,1,0
C3517,AT05-100451,61.345,6.674,180,0.6,0.3,1,0,1,0
C3518,2203-010574,61.345,7.129,180,0.6,0.3,1,0,1,0
C3519,2203-010551,61.345,6.219,180,0.6,0.3,1,0,1,0
C3520,2203-010555,72.919,6.691,270,0.6,0.3,1,0,1,0
C3521,2203-010555,72.094,6.691,270,0.6,0.3,1,0,1,0
C3525,2203-010555,53.51,8.061,90,0.6,0.3,1,0,1,0
C3528,AT05-100451,52.635,6.425,180,0.6,0.3,1,0,1,0
C3529,2203-010574,52.635,7.335,180,0.6,0.3,1,0,1,0
C3530,2203-010551,52.635,6.88,180,0.6,0.3,1,0,1,0
C3531,2203-010555,72.919,8.076,270,0.6,0.3,1,0,1,0
C3532,2203-010555,73.744,8.076,270,0.6,0.3,1,0,1,0
C3536,AT07-101982,55.11,8.055,90,0.6,0.3,1,0,1,0
C3537,AT05-100451,55.22,7.135,0,0.6,0.3,1,0,1,0
C3538,2203-010574,55.22,6.68,0,0.6,0.3,1,0,1,0
C3539,2203-010551,55.22,6.225,0,0.6,0.3,1,0,1,0
C3541,AT05-100451,59.225,6.22,180,0.6,0.3,1,0,1,0
C3542,2203-010574,59.225,6.675,180,0.6,0.3,1,0,1,0
C3543,2203-010551,59.225,7.13,180,0.6,0.3,1,0,1,0
C3544,AT07-102171,59.47,7.728,180,0.6,0.3,1,0,1,0
C3555,2203-010555,70.069,8.076,90,0.6,0.3,1,0,1,0
C3600,AT07-101982,107.2889,7.261,0,0.6,0.3,1,0,1,0
C3601,AT05-100451,107.0829,6.657,0,0.6,0.3,1,0,1,0
C3602,2203-010574,107.0829,6.202,0,0.6,0.3,1,0,1,0
C3603,AT07-101982,105.4689,6.663,90,0.6,0.3,1,0,1,0
C3604,AT05-100451,106.0589,6.78,90,0.6,0.3,1,0,1,0
C3605,2203-010574,104.8789,6.78,90,0.6,0.3,1,0,1,0
C3606,AT07-102171,96.243,8.076,270,0.6,0.3,1,0,1,0
C3607,AT07-102171,118.9389,6.775,0,0.6,0.3,1,0,1,0
C3608,AT07-102171,96.243,6.691,270,0.6,0.3,1,0,1,0
C3609,AT07-102171,117.1389,7.115,90,0.6,0.3,1,0,1,0
C3610,AT07-101982,94.093,6.691,270,0.6,0.3,1,0,1,0
C3611,AT07-101982,116.4389,7.115,90,0.6,0.3,1,0,1,0
C3612,AT07-102171,96.918,8.076,270,0.6,0.3,1,0,1,0
C3613,AT07-102171,117.8139,7.115,90,0.6,0.3,1,0,1,0
C3614,2203-010555,104.7339,8.055,90,0.6,0.3,1,0,1,0
C3617,AT05-100451,103.8339,7.174,180,0.6,0.3,1,0,1,0
C3618,2203-010574,103.8339,7.629,180,0.6,0.3,1,0,1,0
C3619,2203-010551,103.8339,6.719,180,0.6,0.3,1,0,1,0
C3620,2203-010555,115.342,8.2759,180,0.6,0.3,1,0,1,0
C3621,2203-010555,115.315,7.4489,180,0.6,0.3,1,0,1,0
C3625,AT07-102338,98.9989,8.061,90,0.6,0.3,1,0,1,0
C3628,AT05-100451,98.1239,6.425,180,0.6,0.3,1,0,1,0
C3629,2203-010574,98.1239,7.335,180,0.6,0.3,1,0,1,0
C3630,2203-010551,98.1239,6.88,180,0.6,0.3,1,0,1,0
C3631,2203-010555,118.9389,8.35,180,0.6,0.3,1,0,1,0
C3632,2203-010555,118.9389,7.525,180,0.6,0.3,1,0,1,0
C3636,AT07-101982,99.7989,8.055,90,0.6,0.3,1,0,1,0
C3637,AT05-100451,99.9089,7.135,0,0.6,0.3,1,0,1,0
C3638,2203-010574,99.9089,6.68,0,0.6,0.3,1,0,1,0
C3639,2203-010551,99.9089,6.225,0,0.6,0.3,1,0,1,0
C3641,AT05-100451,101.8139,6.52,180,0.6,0.3,1,0,1,0
C3642,2203-010574,101.8139,7.43,180,0.6,0.3,1,0,1,0
C3643,2203-010551,101.8139,6.975,180,0.6,0.3,1,0,1,0
C3644,AT07-101982,100.7339,8.07,90,0.6,0.3,1,0,1,0
C3645,AT07-101982,100.7339,6.679,90,0.6,0.3,1,0,1,0
C3646,AT07-102171,102.0589,8.028,180,0.6,0.3,1,0,1,0
C3661,AT07-102338,113.2639,8.055,90,0.6,0.3,1,0,1,0
C3700,AT07-101982,149.6888,8.114,180,0.6,0.3,1,0,1,0
C3701,AT05-100451,151.0638,8.236,90,0.6,0.3,1,0,1,0
C3702,2203-010574,150.6088,8.236,90,0.6,0.3,1,0,1,0
C3703,AT07-101982,146.7248,6.663,90,0.6,0.3,1,0,1,0
C3704,AT05-100451,147.3148,6.78,90,0.6,0.3,1,0,1,0
C3705,2203-010574,146.1348,6.78,90,0.6,0.3,1,0,1,0
C3706,AT07-102171,136.1098,8.385,0,0.6,0.3,1,0,1,0
C3707,AT07-102171,157.7138,8.076,270,0.6,0.3,1,0,1,0
C3708,AT07-102171,133.6548,6.605,90,0.6,0.3,1,0,1,0
C3709,AT07-102171,156.3638,8.076,270,0.6,0.3,1,0,1,0
C3710,AT07-101982,134.3548,6.605,90,0.6,0.3,1,0,1,0
C3711,AT07-101982,159.2888,6.691,270,0.6,0.3,1,0,1,0
C3712,AT07-102171,136.1098,7.66,180,0.6,0.3,1,0,1,0
C3713,AT07-102171,157.0388,8.076,270,0.6,0.3,1,0,1,0
C3714,2203-010555,145.2398,8.055,90,0.6,0.3,1,0,1,0
C3717,AT05-100451,145.0898,6.674,180,0.6,0.3,1,0,1,0
C3718,2203-010574,145.0898,7.129,180,0.6,0.3,1,0,1,0
C3719,2203-010551,145.0898,6.219,180,0.6,0.3,1,0,1,0
C3720,2203-010555,158.4638,6.691,270,0.6,0.3,1,0,1,0
C3721,2203-010555,157.6388,6.691,270,0.6,0.3,1,0,1,0
C3725,2203-010555,138.2548,8.061,90,0.6,0.3,1,0,1,0
C3728,AT05-100451,137.3798,6.625,180,0.6,0.3,1,0,1,0
C3729,2203-010574,137.3798,7.535,180,0.6,0.3,1,0,1,0
C3730,2203-010551,137.3798,7.08,180,0.6,0.3,1,0,1,0
